NOMBRE,Y,X,Z,CÓDIGO,FECHA,TIPO
T2_14217_1TJ_0001550,2167854.016,773290.037,33.286,PCRI,27/03/2021,PROCESAMIENTO
T2_14217_1TJ_0001551,2167854.017,773290.038,33.287,PCRF,27/03/2021,PROCESAMIENTO
T2_14217_1TJ_0001552,2167854.018,773290.039,33.288,PCI1,27/03/2021,PROCESAMIENTO
T2_14217_1TJ_0001553,2167854.019,773290.04,33.289,PCCE,27/03/2021,PROCESAMIENTO
T2_14217_1TJ_0001554,2167854.02,773290.041,33.29,PCCI,27/03/2021,PROCESAMIENTO
T2_14217_1TJ_0001555,2167854.021,773290.042,33.291,PCEN,27/03/2021,PROCESAMIENTO
T2_14217_1TJ_0001556,2167854.022,773290.043,33.292,PCPR,27/03/2021,PROCESAMIENTO
T2_14217_1TJ_0001557,2167854.023,773290.044,33.293,PCRU,27/03/2021,PROCESAMIENTO
T2_14217_1TJ_0001558,2167854.024,773290.045,33.294,PCBR,27/03/2021,PROCESAMIENTO
T2_14217_1TJ_0001559,2167854.025,773290.046,33.295,PCRA,27/03/2021,PROCESAMIENTO
T2_14217_1TJ_0000009,2167863.373,773289.977,34.814,LARQ,13/03/2021,DIBUJO
T2_14217_1TJ_0000010,2167864.893,773289.977,34.868,LARQ,13/03/2021,DIBUJO
T2_14217_1TJ_0000011,2167866.241,773290.733,34.956,LARQ,13/03/2021,DIBUJO
T2_14217_1TJ_0000012,2167859.134,773294.628,34.201,LARQ,13/03/2021,DIBUJO
T2_14217_1TJ_0000013,2167859.254,773289.879,34.324,LARQ,13/03/2021,DIBUJO
T2_14217_1TJ_0000051,2167861.949,773285.995,24.18,TOPE,18/03/2021,DIBUJO
T2_14217_1TJ_0000052,2167862.24,773286.172,23.649,TOPE,18/03/2021,DIBUJO
T2_14217_1TJ_0000053,2167864.017,773285.95,24.344,TOPE,18/03/2021,DIBUJO
T2_14217_1TJ_0000054,2167863.929,773286.092,24.027,TOPE,18/03/2021,DIBUJO
T2_14217_1TJ_0000055,2167864.094,773287.917,24.473,TOPE,18/03/2021,DIBUJO
T2_14217_1TJ_0000056,2167863.863,773287.854,24.121,TOPE,18/03/2021,DIBUJO
T2_14217_1TJ_0000057,2167861.953,773288.059,24.34,TOPE,18/03/2021,DIBUJO
T2_14217_1TJ_0000058,2167862.177,773287.854,23.653,TOPE,18/03/2021,DIBUJO
T2_14217_1TJ_0000042,2167853.931,773290.016,33.119,TOPE,18/03/2021,DIBUJO
T2_14217_1TJ_0000043,2167854.052,773290.076,32.846,TOPE,18/03/2021,DIBUJO
T2_14217_1TJ_0000044,2167856.052,773289.904,33.334,TOPE,18/03/2021,DIBUJO
T2_14217_1TJ_0000045,2167856.018,773290.05,33.129,TOPE,18/03/2021,DIBUJO
T2_14217_1TJ_0000046,2167856.228,773291.96,33.395,TOPE,18/03/2021,DIBUJO
T2_14217_1TJ_0000047,2167856.062,773291.934,32.708,TOPE,18/03/2021,DIBUJO
T2_14217_1TJ_0000048,2167853.993,773292.031,33.117,TOPE,18/03/2021,DIBUJO
T2_14217_230_0000014,2167863.049,773286.968,34.531,CERA,13/03/2021,ARQUEOLOGÍA
T2_14217_230_0000015,2167863.039,773286.968,34.531,EMAL,13/03/2021,ARQUEOLOGÍA
T2_14217_230_0000016,2167863.047,773286.968,34.532,LITI,13/03/2021,ARQUEOLOGÍA
T2_14217_230_0000017,2167862.908,773296.954,34.434,CERA,13/03/2021,ARQUEOLOGÍA
T2_14217_230_0000018,2167855.069,773290.902,33.49,CERA,13/03/2021,ARQUEOLOGÍA
T2_14217_230_0000019,2167863.765,773287.798,34.447,OLIT,15/03/2021,ARQUEOLOGÍA
T2_14217_230_0000020,2167867.045,773290.487,34.786,CERA,15/03/2021,ARQUEOLOGÍA
T2_14217_230_0000021,2167867.051,773290.5,34.801,LITI,15/03/2021,ARQUEOLOGÍA
T2_14217_230_0000022,2167863.85,773287.395,34.475,OLIT,15/03/2021,ARQUEOLOGÍA
T2_14217_230_0000023,2167862.013,773286.032,34.427,TOCA,15/03/2021,ARQUEOLOGÍA
T2_14217_230_0000024,2167863.886,773286.091,34.406,TOCA,15/03/2021,ARQUEOLOGÍA
T2_14217_230_0000025,2167863.903,773287.877,34.45,TOCA,15/03/2021,ARQUEOLOGÍA
T2_14217_230_0000026,2167862.077,773287.87,34.52,TOCA,15/03/2021,ARQUEOLOGÍA
T2_14217_230_0000027,2167863.109,773286.772,34.287,TOCA,15/03/2021,ARQUEOLOGÍA
T2_14217_230_0000028,2167862.896,773286.43,34.306,CERA,15/03/2021,ARQUEOLOGÍA
T2_14217_230_0000029,2167862.848,773286.434,34.315,LITI,15/03/2021,ARQUEOLOGÍA
T2_14217_230_0000030,2167866.026,773290.66,35.017,TOCA,15/03/2021,ARQUEOLOGÍA
T2_14217_230_0000031,2167867.025,773291.016,34.932,TOCA,15/03/2021,ARQUEOLOGÍA
T2_14217_230_0000032,2167867.222,773291.781,34.889,TOCA,15/03/2021,ARQUEOLOGÍA
T2_14217_230_0000033,2167866.008,773291.905,35.105,TOCA,15/03/2021,ARQUEOLOGÍA
T2_14217_230_0000034,2167866.73,773291.373,35,TOCA,15/03/2021,ARQUEOLOGÍA
T2_14217_230_0000035,2167866.041,773290.055,34.742,TOCA,15/03/2021,ARQUEOLOGÍA
T2_14217_230_0000036,2167867.75,773290.011,34.619,TOCA,15/03/2021,ARQUEOLOGÍA
T2_14217_230_0000037,2167867.891,773291.802,34.623,TOCA,15/03/2021,ARQUEOLOGÍA
T2_14217_230_0000038,2167867.495,773291.791,34.656,TOCA,15/03/2021,ARQUEOLOGÍA
T2_14217_230_0000039,2167867.286,773290.85,34.655,TOCA,15/03/2021,ARQUEOLOGÍA
T2_14217_230_0000040,2167866.085,773290.515,34.724,TOCA,15/03/2021,ARQUEOLOGÍA
T2_14217_230_0000041,2167867.359,773290.6,34.777,TOCA,15/03/2021,ARQUEOLOGÍA
T2_14217_226_0000018,2167854.165,773291.863,32.656,TOCA,16/03/2021,ARQUEOLOGÍA
T2_14217_226_0000019,2167854.1,773291.781,32.765,TOCA,16/03/2021,ARQUEOLOGÍA
T2_14217_226_0000020,2167854.428,773291.722,32.952,TOCA,16/03/2021,ARQUEOLOGÍA
T2_14217_226_0000021,2167855.042,773291.171,33.197,TOCA,16/03/2021,ARQUEOLOGÍA
T2_14217_226_0000022,2167862.077,773296.118,34.135,TOCA,16/03/2021,ARQUEOLOGÍA
T2_14217_226_0000023,2167863.828,773296.087,34.015,TOCA,16/03/2021,ARQUEOLOGÍA
T2_14217_226_0000024,2167863.369,773296.833,34.106,TOCA,16/03/2021,ARQUEOLOGÍA
T2_14217_226_0000025,2167863.183,773297.836,34.042,TOCA,16/03/2021,ARQUEOLOGÍA
T2_14217_226_0000026,2167862.551,773297.801,34.015,TOCA,16/03/2021,ARQUEOLOGÍA
T2_14217_226_0000027,2167862.134,773296.976,33.964,TOCA,16/03/2021,ARQUEOLOGÍA
T2_14217_226_0000028,2167863.545,773297.572,34.432,TOCA,16/03/2021,ARQUEOLOGÍA
