Clave de excavación ,Y,X,Z,Código ,Fecha de registro 
T1_07043_0EG_0003045,1960349.001,692410.3545,48.2406,PCTE,2022.06.17
T1_07043_0EG_0003046,1960376.041,692438.3227,48.7537,PCTE,2022.06.17
T1_07043_0EG_0003047,1960371.798,692442.4881,48.0104,PCTE,2022.06.17
T1_07043_0EG_0003048,1960344.359,692414.8112,47.6349,PCTE,2022.06.17
T1_07043_0EG_0003049,1960348.29,692412.093,48.236,PCTE,2022.06.17
T1_07043_0EG_0003050,1960364.103,692427.8359,48.8761,PCTE,2022.06.17
T1_07043_0EG_0003051,1960363.564,692433.7916,48.417,PCTE,2022.06.17
T1_07043_0EG_0003052,1960345.913,692416.1966,47.8252,PCTE,2022.06.17
T1_07043_0EG_0003053,1960348.155,692412.5326,47.4096,PCTE,2022.06.17
T1_07043_0EG_0003054,1960363.722,692428.1657,48.2493,PCTE,2022.06.17
T1_07043_0EG_0003055,1960363.765,692433.4956,48.1242,PCTE,2022.06.17
T1_07043_0EG_0003056,1960346.344,692415.8067,47.3693,PCTE,2022.06.17
